Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,57,0.015519,0,-0.0612695,9,9.00021,-2.96434e-09,7.20948e-08,0.431563,0.431563
internalMesh,58,0.015519,0,-0.0598009,9,9.0002,-2.86333e-09,7.04759e-08,0.431843,0.431843
internalMesh,59,0.015519,0,-0.049031,9,9.00013,-2.12263e-09,5.86039e-08,0.433896,0.433896
internalMesh,60,0.015519,0,-0.049031,9,9.00013,-2.12263e-09,5.86039e-08,0.433896,0.433896
internalMesh,61,0.015519,0,-0.0367822,9,9.00008,-1.47921e-09,4.39428e-08,0.435713,0.435713
internalMesh,62,0.015519,0,-0.0367822,9,9.00008,-1.47921e-09,4.39428e-08,0.435713,0.435713
internalMesh,63,0.015519,0,-0.0298965,9,9.00005,-1.23641e-09,3.51902e-08,0.436443,0.436443
internalMesh,64,0.015519,0,-0.0298965,9,9.00005,-1.23641e-09,3.51902e-08,0.436443,0.436443
internalMesh,65,0.015519,0,-0.0298965,9,9.00005,-1.23641e-09,3.51902e-08,0.436443,0.436443
internalMesh,66,0.015519,0,-0.0245257,9,9.00003,-1.04703e-09,2.83632e-08,0.437013,0.437013
internalMesh,67,0.015519,0,-0.0245257,9,9.00003,-1.04703e-09,2.83632e-08,0.437013,0.437013
internalMesh,68,0.015519,0,-0.0188328,9,9.00002,-9.48996e-10,2.08355e-08,0.437376,0.437376
internalMesh,69,0.015519,0,-0.0122641,9,9.00001,-8.35879e-10,1.21496e-08,0.437795,0.437795
internalMesh,70,0.015519,0,-0.0122641,9,9.00001,-8.35879e-10,1.21496e-08,0.437795,0.437795
internalMesh,71,0.015519,0,0,9,9,-8.5169e-10,-4.38981e-09,0.438058,0.438058
internalMesh,72,0.015519,0,0,9,9,-8.5169e-10,-4.38981e-09,0.438058,0.438058
internalMesh,73,0.015519,0,0,9,9,-8.5169e-10,-4.38981e-09,0.438058,0.438058
internalMesh,74,0.015519,0,0,9,9,-8.5169e-10,-4.38981e-09,0.438058,0.438058
internalMesh,75,0.015519,0,0.0122641,9,9.00001,-1.09674e-09,-2.09347e-08,0.437803,0.437803
internalMesh,76,0.015519,0,0.0122641,9,9.00001,-1.09674e-09,-2.09347e-08,0.437803,0.437803
internalMesh,77,0.015519,0,0.0122641,9,9.00001,-1.09674e-09,-2.09347e-08,0.437803,0.437803
internalMesh,78,0.015519,0,0.0181972,9,9.00002,-1.32536e-09,-2.87872e-08,0.437428,0.437428
internalMesh,79,0.015519,0,0.0245257,9,9.00003,-1.56921e-09,-3.71633e-08,0.437029,0.437029
internalMesh,80,0.015519,0,0.0245257,9,9.00003,-1.56921e-09,-3.71633e-08,0.437029,0.437029
internalMesh,81,0.015519,0,0.0308516,9,9.00005,-1.92758e-09,-4.52155e-08,0.436362,0.436362
internalMesh,82,0.015519,0,0.0308516,9,9.00005,-1.92758e-09,-4.52155e-08,0.436362,0.436362
internalMesh,83,0.015519,0,0.0308516,9,9.00005,-1.92758e-09,-4.52155e-08,0.436362,0.436362
internalMesh,84,0.015519,0,0.0367822,9,9.00008,-2.26354e-09,-5.27645e-08,0.435737,0.435737
internalMesh,85,0.015519,0,0.049031,9,9.00013,-3.17003e-09,-6.74483e-08,0.433928,0.433928
internalMesh,86,0.015519,0,0.049031,9,9.00013,-3.17003e-09,-6.74483e-08,0.433928,0.433928
internalMesh,87,0.015519,0,0.049031,9,9.00013,-3.17003e-09,-6.74483e-08,0.433928,0.433928
internalMesh,88,0.015519,0,0.0597397,9,9.0002,-4.13724e-09,-7.9268e-08,0.431894,0.431894
internalMesh,89,0.015519,0,0.0612695,9,9.00021,-4.27542e-09,-8.09566e-08,0.431603,0.431603
internalMesh,90,0.015519,0,0.0612695,9,9.00021,-4.27542e-09,-8.09566e-08,0.431603,0.431603
internalMesh,91,0.015519,0,0.0627978,9,9.00022,-4.43634e-09,-8.24709e-08,0.431248,0.431248
internalMesh,92,0.015519,0,0.0627978,9,9.00022,-4.43634e-09,-8.24709e-08,0.431248,0.431248
internalMesh,93,0.015519,0,0.0627978,9,9.00022,-4.43634e-09,-8.24709e-08,0.431248,0.431248
internalMesh,94,0.015519,0,0.0734953,9,9.0003,-5.5628e-09,-9.30713e-08,0.428763,0.428763
internalMesh,95,0.015519,0,0.0734953,9,9.0003,-5.5628e-09,-9.30713e-08,0.428763,0.428763
internalMesh,96,0.015519,0,0.0841794,9,9.00039,-6.83105e-09,-1.02301e-07,0.42583,0.42583
internalMesh,97,0.015519,0,0.0857057,9,9.00041,-7.01223e-09,-1.0362e-07,0.425411,0.425411
